conc,LasyWMiescie,JakieobszarylesnelubterenyzielonewybieraPanPaninajczesciej,JakaformerekreacjiwlesielubinaterenachzielonychwybieraPanPanin,CzegoprzedewszystkimoczekujePanPaniodrekreacjiwlesielubiterenach,JakokreslilbyokreslilabyPanPaniwlasneemocjeodczuwanewzwiaz,Czywporównaniuzczasemsprzedpandemiiwtrakciepandemiizwiekszyla,pandemia_zwiekszenie_rekreacji,Czyuprawianierekreacjiwlesielubiterenachzielonychmawplywnaobni,Sex,Age,PlaceOfLive,Miejscezamieszkaniawojewództwo,edu,status,kids,disability,job,active_coping,planning,positive_reframing,acceptance,humor,religion,emotional_support,instrumental_support,attention,denial,venting,substance_use,disengagement,self_blame,SkalaPodwyzszaniaNastroju,SkalaObnizaniaNastroju,active_coping,helplesness,support_seeking,avoidance,acceptance,humor,religion,Frequency_of_activity,season,place
2.979449492,1,"lasy w miescie, lasy poza miastem, laki, obszary zielone w miescie typu parki, skwery (zielence), ogród botaniczny, ogródki dzialkowe","spacer, fotografowanie przyrody, zbieranie grzybów","miejsca na podziwianie piekna przyrody, miejsca obserwacji zachowan dzikich zwierzat i ptaków, miejsca wyciszenia i odosobnienia",,raczej tak,4,5,1,37,village,slaskie,5,married,3,No,1,4,4,4,4,2,2,4,3,5,1,4,0,1,2,4.333333333,3.066666667,4,1,3.5,3.333333333,4,2,2,weekends,2,1
3.003907578,0,lasy poza miastem,"spacer, fotografowanie przyrody, obserwowanie ptaków","miejsca na podziwianie piekna przyrody, miejsca obserwacji zachowan dzikich zwierzat i ptaków, miejsca wyciszenia i odosobnienia",,raczej nie,2,3,1,32,city_above_500000,mazowieckie,5,married,0,No,1,4,4,4,4,1,0,4,4,2,1,3,0,1,1,3.8,2.2,4,0.666666667,4,2,4,1,0,weekends,2,0
3.028168126,0,"lasy poza miastem, laki, inne (jakie?):","spacer, jazda rowerem, zbieranie grzybów","miejsca zbioru owoców lesnych i grzybów, miejsca dajacego mozliwosc oddychania czystym powietrzem, miejsca wyciszenia i odosobnienia",,nie zmienila sie,3,4,1,38,city_above_500000,lódzkie,5,married,0,No,1,6,5,2,4,3,0,5,4,4,1,3,0,2,2,4.066666667,2.266666667,4.333333333,1.333333333,4.5,2.666666667,4,3,0,few_times_in_month_or_less,3,0
3.034253523,1,"lasy w miescie, obszary zielone w miescie typu parki, skwery (zielence)","spacer, fotografowanie przyrody","miejsca na podziwianie piekna przyrody, miejsca wyciszenia i odosobnienia",,raczej tak,4,5,1,37,city_above_500000,dolnoslaskie,5,married,3,No,2,4,4,4,4,0,4,4,4,2,0,2,0,2,2,3.333333333,1.666666667,4,1.333333333,4,1.333333333,4,0,4,weekends,2,1
3.078096855,0,"lasy poza miastem, laki, obszary zielone w miescie typu parki, skwery (zielence), ogródki dzialkowe","spacer, jazda rowerem, zbieranie grzybów","miejsca dajacego mozliwosc oddychania czystym powietrzem, miejsca wyciszenia i odosobnienia, miejsca wypoczynku i rekreacji np. na weekendowy pobyt z rodzina i przyjaciólmi",,nie zmienila sie,3,4,1,40,city_100000,zachodniopomorskie,5,married,0,No,1,5,5,4,4,2,2,5,2,4,1,2,0,2,2,3.533333333,2.466666667,4.666666667,1.333333333,3.5,2.333333333,4,2,2,monday-friday,1,1
3.087238904,1,"lasy w miescie, lasy poza miastem, obszary zielone w miescie typu parki, skwery (zielence)","spacer, fotografowanie przyrody, obserwowanie ptaków","miejsca na podziwianie piekna przyrody, miejsca dajacego mozliwosc oddychania czystym powietrzem, miejsca wyciszenia i odosobnienia",,raczej tak,4,5,1,50,city_above_500000,mazowieckie,5,married,0,No,2,4,5,4,4,1,0,3,3,4,2,4,2,2,4,4.333333333,3.6,4.333333333,2.666666667,3,3.333333333,4,1,0,everyday,3,1
3.092458911,0,"lasy poza miastem, laki","spacer, fotografowanie przyrody","miejsca na podziwianie piekna przyrody, miejsca wyciszenia i odosobnienia",,nie zmienila sie,3,1,1,25,city_above_500000,wielkopolskie,5,married,0,No,1,4,4,2,4,1,1,4,4,3,1,3,0,2,4,2.8,3.466666667,3.333333333,2,4,2.333333333,4,1,1,weekends,2,0
3.107669075,0,"lasy poza miastem, laki, ogródki dzialkowe","spacer, fotografowanie przyrody, zbieranie grzybów","miejsca na podziwianie piekna przyrody, miejsca zbioru owoców lesnych i grzybów, miejsca dajacego mozliwosc oddychania czystym powietrzem, miejsca wyciszenia i odosobnienia, miejsca ucieczki od problemów osobistych",,raczej tak,4,2,1,21,village,wielkopolskie,3,single,0,No,6,4,4,4,4,2,0,4,4,3,3,4,0,2,4,3.8,4.333333333,4,2,4,3.333333333,4,2,0,monday-friday,2,0
3.109630557,1,"lasy w miescie, lasy poza miastem, obszary zielone w miescie typu parki, skwery (zielence), ogród botaniczny","spacer, fotografowanie przyrody, obserwowanie ptaków","mozliwosci swobodnych spotkan z ludzmi bez koniecznosci zakladania maseczki, miejsca na podziwianie piekna przyrody, miejsca dajacego mozliwosc oddychania czystym powietrzem, miejsca wyciszenia i odosobnienia",,raczej tak,4,5,1,42,city_above_500000,slaskie,5,single,0,Yes,1,4,6,4,4,2,2,4,5,3,0,3,2,1,3,4.333333333,2.4,4.666666667,2,4.5,2,4,2,2,monday-friday,1,1
3.136390687,0,"lasy poza miastem, ogródki dzialkowe","spacer, jazda rowerem","miejsca na podziwianie piekna przyrody, miejsca obserwacji zachowan dzikich zwierzat i ptaków, miejsca dajacego mozliwosc oddychania czystym powietrzem, miejsca wyciszenia i odosobnienia, miejsca wypoczynku i rekreacji np. na weekendowy pobyt z rodzina i przyjaciólmi",,raczej nie,2,5,1,35,city_20000,mazowieckie,5,married,1,No,1,4,4,2,4,2,4,4,4,2,1,3,0,3,2,3.866666667,2.333333333,3.333333333,1.666666667,4,2,4,2,4,monday-friday,2,0
3.144728032,1,"lasy w miescie, lasy poza miastem, obszary zielone w miescie typu parki, skwery (zielence)","spacer, nordic-walking, fotografowanie przyrody, obserwowanie ptaków","miejsca na podziwianie piekna przyrody, miejsca dajacego mozliwosc oddychania czystym powietrzem, miejsca wyciszenia i odosobnienia",,zdecydowanie nie,1,4,1,61,city_above_500000,mazowieckie,5,divorced,2,No,4,5,4,4,6,2,0,4,3,5,2,4,0,1,2,3.866666667,2.133333333,4.333333333,1,3.5,3.666666667,6,2,0,few_times_in_month_or_less,2,1
3.144728032,0,"obszary zielone w miescie typu parki, skwery (zielence)","spacer, nordic-walking","miejsca na podziwianie piekna przyrody, miejsca wyciszenia i odosobnienia, miejsca wypoczynku i rekreacji np. na weekendowy pobyt z rodzina i przyjaciólmi",,zdecydowanie tak,5,4,1,53,city_above_500000,dolnoslaskie,5,married,0,No,1,5,4,4,4,2,2,4,2,4,0,4,0,1,3,3.466666667,2.666666667,4.333333333,1.333333333,3,2.666666667,4,2,2,monday-friday,1,1
3.15101468,1,"lasy w miescie, ogród botaniczny, palmiarnia",spacer,"miejsca wyciszenia i odosobnienia, miejsca ucieczki od problemów osobistych, miejsca wypoczynku i rekreacji np. na weekendowy pobyt z rodzina i przyjaciólmi",,raczej tak,4,5,1,60,city_100000,lubuskie,2,widow(er),0,Yes,4,4,4,2,2,2,2,3,2,4,3,3,2,2,2,2.933333333,1.2,3.333333333,2,2.5,3.333333333,2,2,2,everyday,2,1
3.154408028,0,"lasy poza miastem, laki","spacer, bieganie (jogging), jazda rowerem, fotografowanie przyrody, obserwowanie ptaków, zbieranie grzybów","miejsca na podziwianie piekna przyrody, miejsca dajacego mozliwosc oddychania czystym powietrzem, miejsca wyciszenia i odosobnienia",,raczej nie,2,5,1,43,city_above_500000,wielkopolskie,5,married,3,No,1,5,4,3,4,1,2,4,4,4,0,4,2,1,2,3.866666667,2.533333333,4,1.666666667,4,2.666666667,4,1,2,weekends,2,0
3.158271719,1,lasy w miescie,"spacer, jazda rowerem, fotografowanie przyrody","miejsca na podziwianie piekna przyrody, miejsca obserwacji zachowan dzikich zwierzat i ptaków, miejsca dajacego mozliwosc oddychania czystym powietrzem",,raczej nie,2,2,1,33,city_500000,wielkopolskie,5,married,0,No,1,6,4,4,4,2,1,6,4,4,2,4,2,1,4,4.466666667,3.266666667,4.666666667,2.333333333,5,3.333333333,4,2,1,weekends,2,1
